2025-09-19 13:57:30 status half-installed libhtml-parser-perl:amd64 3.81-1
2025-09-19 13:57:30 status unpacked libhtml-parser-perl:amd64 3.81-1
2025-09-19 13:57:30 install libhtml-tree-perl:all <none> 5.07-3
2025-09-19 13:57:30 status half-installed libhtml-tree-perl:all 5.07-3
2025-09-19 13:57:30 status unpacked libhtml-tree-perl:all 5.07-3
2025-09-19 13:57:30 install libclone-perl:amd64 <none> 0.46-1
2025-09-19 13:57:30 status half-installed libclone-perl:amd64 0.46-1
2025-09-19 13:57:30 status unpacked libclone-perl:amd64 0.46-1
2025-09-19 13:57:30 install libencode-perl:amd64 <none> 3.19-1+b1
2025-09-19 13:57:30 status half-installed libencode-perl:amd64 3.19-1+b1
2025-09-19 13:57:30 status unpacked libencode-perl:amd64 3.19-1+b1
2025-09-19 13:57:30 install libio-html-perl:all <none> 1.004-3
2025-09-19 13:57:30 status half-installed libio-html-perl:all 1.004-3
2025-09-19 13:57:30 status unpacked libio-html-perl:all 1.004-3
2025-09-19 13:57:30 install liblwp-mediatypes-perl:all <none> 6.04-2
2025-09-19 13:57:30 status half-installed liblwp-mediatypes-perl:all 6.04-2
2025-09-19 13:57:30 status unpacked liblwp-mediatypes-perl:all 6.04-2
2025-09-19 13:57:30 install libhttp-message-perl:all <none> 6.44-1
2025-09-19 13:57:30 status half-installed libhttp-message-perl:all 6.44-1
2025-09-19 13:57:30 status unpacked libhttp-message-perl:all 6.44-1
2025-09-19 13:57:30 install libhttp-cookies-perl:all <none> 6.10-1
2025-09-19 13:57:30 status half-installed libhttp-cookies-perl:all 6.10-1
2025-09-19 13:57:30 status unpacked libhttp-cookies-perl:all 6.10-1
2025-09-19 13:57:30 install libhttp-negotiate-perl:all <none> 6.01-2
2025-09-19 13:57:30 status half-installed libhttp-negotiate-perl:all 6.01-2
2025-09-19 13:57:30 status unpacked libhttp-negotiate-perl:all 6.01-2
2025-09-19 13:57:30 install perl-openssl-defaults:amd64 <none> 7+b1
2025-09-19 13:57:30 status half-installed perl-openssl-defaults:amd64 7+b1
2025-09-19 13:57:30 status unpacked perl-openssl-defaults:amd64 7+b1
2025-09-19 13:57:30 install libnet-ssleay-perl:amd64 <none> 1.92-2+b1
2025-09-19 13:57:30 status half-installed libnet-ssleay-perl:amd64 1.92-2+b1
2025-09-19 13:57:30 status unpacked libnet-ssleay-perl:amd64 1.92-2+b1
2025-09-19 13:57:31 install libio-socket-ssl-perl:all <none> 2.081-2
2025-09-19 13:57:31 status half-installed libio-socket-ssl-perl:all 2.081-2
2025-09-19 13:57:31 status unpacked libio-socket-ssl-perl:all 2.081-2
2025-09-19 13:57:31 install libnet-http-perl:all <none> 6.22-1
2025-09-19 13:57:31 status half-installed libnet-http-perl:all 6.22-1
2025-09-19 13:57:31 status unpacked libnet-http-perl:all 6.22-1
2025-09-19 13:57:31 install liblwp-protocol-https-perl:all <none> 6.10-1
2025-09-19 13:57:31 status half-installed liblwp-protocol-https-perl:all 6.10-1
2025-09-19 13:57:31 status unpacked liblwp-protocol-https-perl:all 6.10-1
2025-09-19 13:57:31 install libtry-tiny-perl:all <none> 0.31-2
2025-09-19 13:57:31 status half-installed libtry-tiny-perl:all 0.31-2
2025-09-19 13:57:31 status unpacked libtry-tiny-perl:all 0.31-2
2025-09-19 13:57:31 install libwww-robotrules-perl:all <none> 6.02-1
2025-09-19 13:57:31 status half-installed libwww-robotrules-perl:all 6.02-1
2025-09-19 13:57:31 status unpacked libwww-robotrules-perl:all 6.02-1
